사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021072100100448,2021년 7월 21일 17시,수요일,서울특별시 송파구 오금동,,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,56세,경상,승용,여,41세,상해없음,"[211623.00998688, 445592.56937101]",EPSG:5181
2021072200100519,2021년 7월 22일 19시,목요일,서울특별시 강남구 대치동,,경상사고,0,0,1,0,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,27세,상해없음,이륜,남,44세,경상,"[205319.55204684, 445204.9344768]",EPSG:5181
2021072300100035,2021년 7월 23일 05시,금요일,서울특별시 영등포구 문래동1가,,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 기타,개인형이동수단(PM),남,64세,중상,승용,남,14세,상해없음,"[191263.26328959, 446114.62359224]",EPSG:5181
2021072300100141,2021년 7월 23일 10시,금요일,서울특별시 송파구 방이동,,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,58세,상해없음,보행자,남,74세,경상,"[211032.07050475, 445536.40797358]",EPSG:5181
2021072300100474,2021년 7월 23일 18시,금요일,서울특별시 노원구 상계동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,27세,경상,승용,남,51세,상해없음,"[204899.16037361, 463664.00203021]",EPSG:5181
2021072400100317,2021년 7월 24일 15시,토요일,서울특별시 강남구 대치동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,34세,경상,이륜,남,35세,상해없음,"[205126.87328487, 444941.80701681]",EPSG:5181
2021072600100233,2021년 7월 26일 12시,월요일,서울특별시 동대문구 회기동,,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,22세,경상,승용,남,59세,상해없음,"[204873.34077361, 454804.36027679]",EPSG:5181
2021072600100601,2021년 7월 26일 22시,월요일,서울특별시 강북구 번동,,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,21세,상해없음,보행자,여,74세,경상,"[203263.15076561, 459228.53335278]",EPSG:5181
2021072600100608,2021년 7월 26일 22시,월요일,서울특별시 노원구 하계동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세,부상신고,승용,남,45세,상해없음,"[206387.11227807, 460218.56622716]",EPSG:5181
2021072600100626,2021년 7월 26일 23시,월요일,서울특별시 마포구 서교동,,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,34세,경상,,,,,"[192306.90258351, 450772.94598147]",EPSG:5181
